,index,urdf_filepath,urdf_path,scene_id,task,task_ids,init_ids
5235,5715,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_15.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_15,Merom_0_int,boxing_books_up_for_storage,0,15
5236,5716,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_16.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_16,Merom_0_int,boxing_books_up_for_storage,0,16
5237,5717,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_17.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_17,Merom_0_int,boxing_books_up_for_storage,0,17
5238,5718,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_18.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_18,Merom_0_int,boxing_books_up_for_storage,0,18
5239,5719,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_19.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_19,Merom_0_int,boxing_books_up_for_storage,0,19
5240,5720,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_20.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_20,Merom_0_int,boxing_books_up_for_storage,0,20
5241,5721,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_21.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_21,Merom_0_int,boxing_books_up_for_storage,0,21
5242,5722,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_22.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_22,Merom_0_int,boxing_books_up_for_storage,0,22
5243,5723,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_23.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_23,Merom_0_int,boxing_books_up_for_storage,0,23
5244,5724,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_24.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_24,Merom_0_int,boxing_books_up_for_storage,0,24
5245,5725,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_25.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_25,Merom_0_int,boxing_books_up_for_storage,0,25
5246,5726,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_26.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_26,Merom_0_int,boxing_books_up_for_storage,0,26
5247,5727,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_27.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_27,Merom_0_int,boxing_books_up_for_storage,0,27
5248,5728,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_28.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_28,Merom_0_int,boxing_books_up_for_storage,0,28
5249,5729,scenes/Merom_0_int/urdf/Merom_0_int_task_boxing_books_up_for_storage_0_29.urdf,Merom_0_int_task_boxing_books_up_for_storage_0_29,Merom_0_int,boxing_books_up_for_storage,0,29
5250,5730,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_0.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_0,Ihlen_0_int,boxing_books_up_for_storage,0,0
5251,5731,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_1.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_1,Ihlen_0_int,boxing_books_up_for_storage,0,1
5252,5732,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_2.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_2,Ihlen_0_int,boxing_books_up_for_storage,0,2
5253,5733,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_3.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_3,Ihlen_0_int,boxing_books_up_for_storage,0,3
5254,5734,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_4.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_4,Ihlen_0_int,boxing_books_up_for_storage,0,4
5255,5735,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_5.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_5,Ihlen_0_int,boxing_books_up_for_storage,0,5
5256,5736,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_6.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_6,Ihlen_0_int,boxing_books_up_for_storage,0,6
5257,5737,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_7.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_7,Ihlen_0_int,boxing_books_up_for_storage,0,7
5258,5738,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_8.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_8,Ihlen_0_int,boxing_books_up_for_storage,0,8
5259,5739,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_9.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_9,Ihlen_0_int,boxing_books_up_for_storage,0,9
5260,5740,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_10.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_10,Ihlen_0_int,boxing_books_up_for_storage,0,10
5261,5741,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_11.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_11,Ihlen_0_int,boxing_books_up_for_storage,0,11
5262,5742,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_12.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_12,Ihlen_0_int,boxing_books_up_for_storage,0,12
5263,5743,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_13.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_13,Ihlen_0_int,boxing_books_up_for_storage,0,13
5264,5744,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_14.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_14,Ihlen_0_int,boxing_books_up_for_storage,0,14
5265,5745,scenes/Ihlen_0_int/urdf/Ihlen_0_int_task_boxing_books_up_for_storage_0_15.urdf,Ihlen_0_int_task_boxing_books_up_for_storage_0_15,Ihlen_0_int,boxing_books_up_for_storage,0,15
