,index,urdf_filepath,urdf_path,scene_id,task,task_ids,init_ids
7329,7899,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_9.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_9,Ihlen_1_int,picking_up_take-out_food,0,9
7330,7900,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_10.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_10,Ihlen_1_int,picking_up_take-out_food,0,10
7331,7901,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_11.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_11,Ihlen_1_int,picking_up_take-out_food,0,11
7332,7902,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_12.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_12,Ihlen_1_int,picking_up_take-out_food,0,12
7333,7903,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_13.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_13,Ihlen_1_int,picking_up_take-out_food,0,13
7334,7904,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_14.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_14,Ihlen_1_int,picking_up_take-out_food,0,14
7335,7905,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_15.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_15,Ihlen_1_int,picking_up_take-out_food,0,15
7336,7906,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_16.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_16,Ihlen_1_int,picking_up_take-out_food,0,16
7337,7907,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_17.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_17,Ihlen_1_int,picking_up_take-out_food,0,17
7338,7908,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_18.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_18,Ihlen_1_int,picking_up_take-out_food,0,18
7339,7909,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_19.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_19,Ihlen_1_int,picking_up_take-out_food,0,19
7340,7910,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_20.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_20,Ihlen_1_int,picking_up_take-out_food,0,20
7341,7911,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_21.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_21,Ihlen_1_int,picking_up_take-out_food,0,21
7342,7912,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_22.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_22,Ihlen_1_int,picking_up_take-out_food,0,22
7343,7913,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_23.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_23,Ihlen_1_int,picking_up_take-out_food,0,23
7344,7914,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_24.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_24,Ihlen_1_int,picking_up_take-out_food,0,24
7345,7915,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_25.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_25,Ihlen_1_int,picking_up_take-out_food,0,25
7346,7916,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_26.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_26,Ihlen_1_int,picking_up_take-out_food,0,26
7347,7917,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_27.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_27,Ihlen_1_int,picking_up_take-out_food,0,27
7348,7918,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_28.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_28,Ihlen_1_int,picking_up_take-out_food,0,28
7349,7919,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_picking_up_take-out_food_0_29.urdf,Ihlen_1_int_task_picking_up_take-out_food_0_29,Ihlen_1_int,picking_up_take-out_food,0,29
7350,7920,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_0.urdf,Ihlen_1_int_task_preparing_salad_0_0,Ihlen_1_int,preparing_salad,0,0
7351,7921,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_1.urdf,Ihlen_1_int_task_preparing_salad_0_1,Ihlen_1_int,preparing_salad,0,1
7352,7922,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_2.urdf,Ihlen_1_int_task_preparing_salad_0_2,Ihlen_1_int,preparing_salad,0,2
7353,7923,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_3.urdf,Ihlen_1_int_task_preparing_salad_0_3,Ihlen_1_int,preparing_salad,0,3
7354,7924,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_4.urdf,Ihlen_1_int_task_preparing_salad_0_4,Ihlen_1_int,preparing_salad,0,4
7355,7925,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_5.urdf,Ihlen_1_int_task_preparing_salad_0_5,Ihlen_1_int,preparing_salad,0,5
7356,7926,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_6.urdf,Ihlen_1_int_task_preparing_salad_0_6,Ihlen_1_int,preparing_salad,0,6
7357,7927,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_7.urdf,Ihlen_1_int_task_preparing_salad_0_7,Ihlen_1_int,preparing_salad,0,7
7358,7928,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_8.urdf,Ihlen_1_int_task_preparing_salad_0_8,Ihlen_1_int,preparing_salad,0,8
7359,7929,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_9.urdf,Ihlen_1_int_task_preparing_salad_0_9,Ihlen_1_int,preparing_salad,0,9
7360,7930,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_10.urdf,Ihlen_1_int_task_preparing_salad_0_10,Ihlen_1_int,preparing_salad,0,10
7361,7931,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_11.urdf,Ihlen_1_int_task_preparing_salad_0_11,Ihlen_1_int,preparing_salad,0,11
7362,7932,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_12.urdf,Ihlen_1_int_task_preparing_salad_0_12,Ihlen_1_int,preparing_salad,0,12
7363,7933,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_13.urdf,Ihlen_1_int_task_preparing_salad_0_13,Ihlen_1_int,preparing_salad,0,13
7364,7934,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_14.urdf,Ihlen_1_int_task_preparing_salad_0_14,Ihlen_1_int,preparing_salad,0,14
7365,7935,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_15.urdf,Ihlen_1_int_task_preparing_salad_0_15,Ihlen_1_int,preparing_salad,0,15
7366,7936,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_16.urdf,Ihlen_1_int_task_preparing_salad_0_16,Ihlen_1_int,preparing_salad,0,16
7367,7937,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_17.urdf,Ihlen_1_int_task_preparing_salad_0_17,Ihlen_1_int,preparing_salad,0,17
7368,7938,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_18.urdf,Ihlen_1_int_task_preparing_salad_0_18,Ihlen_1_int,preparing_salad,0,18
7369,7939,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_19.urdf,Ihlen_1_int_task_preparing_salad_0_19,Ihlen_1_int,preparing_salad,0,19
7370,7940,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_20.urdf,Ihlen_1_int_task_preparing_salad_0_20,Ihlen_1_int,preparing_salad,0,20
7371,7941,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_21.urdf,Ihlen_1_int_task_preparing_salad_0_21,Ihlen_1_int,preparing_salad,0,21
7372,7942,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_22.urdf,Ihlen_1_int_task_preparing_salad_0_22,Ihlen_1_int,preparing_salad,0,22
7373,7943,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_23.urdf,Ihlen_1_int_task_preparing_salad_0_23,Ihlen_1_int,preparing_salad,0,23
7374,7944,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_24.urdf,Ihlen_1_int_task_preparing_salad_0_24,Ihlen_1_int,preparing_salad,0,24
7375,7945,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_25.urdf,Ihlen_1_int_task_preparing_salad_0_25,Ihlen_1_int,preparing_salad,0,25
7376,7946,scenes/Ihlen_1_int/urdf/Ihlen_1_int_task_preparing_salad_0_26.urdf,Ihlen_1_int_task_preparing_salad_0_26,Ihlen_1_int,preparing_salad,0,26
